SAMPLE,NUMBER,SiO2,FeO,MgO,CaO,NiO,MnO,TOTAL,Fo
D18-1-_001,4,38.2255,21.3147,39.6158,0.234812,0.177097,0.262172,99.8614,76.815
D18-1-_001,4,38.2413,21.2331,39.6695,0.232845,0.187069,0.262046,99.8284,76.9073
D18-1-_001,4,38.3417,21.2183,39.649,0.231325,0.178396,0.261592,99.8803,76.9105
,,38.2695,21.25536667,39.64476667,0.232994,0.180854,0.261936667,99.8567,76.8776
D18-1-_002,5,38.1405,21.1583,39.42,0.261276,0.162664,0.266945,99.4236,76.8579
D18-1-_002,5,37.9687,21.3426,39.4751,0.262853,0.159011,0.268533,99.4767,76.7282
D18-1-_002,5,38.1253,21.1201,39.3786,0.268937,0.168322,0.272478,99.3393,76.8713
,,38.07816667,21.207,39.42456667,0.264355333,0.163332333,0.269318667,99.4132,76.81913333
D18-1-_003,6,36.2984,22.6197,36.4989,0.29805,0.149751,0.273362,97.1395,74.2025
D18-1-_003,6,37.9895,21.3684,39.1932,0.26858,0.164398,0.263887,99.4029,76.5784
D18-1-_003,6,34.5743,24.4047,32.6031,0.330892,0.141345,0.276096,93.8557,70.4266
,,,,,,,,,
D18-1-_004,7,38.9583,17.4784,42.3433,0.21636,0.297534,0.219375,99.5133,81.1977
D18-1-_004,7,38.8439,17.4688,42.2879,0.222447,0.294675,0.215289,99.3552,81.1861
D18-1-_004,7,38.8682,17.5499,42.3866,0.212806,0.290259,0.215343,99.5368,81.1509
D18-1- ave,,38.89013333,17.49903333,42.33926667,0.217204333,0.294156,0.216669,99.46843333,81.17823333
D18-1-_005,8,38.7395,19.2562,41.2285,0.227088,0.232264,0.228896,99.9125,79.2384
D18-1-_005,8,38.6779,19.7946,40.6652,0.227866,0.225883,0.246444,99.8569,78.5502
,,38.7087,19.5254,40.94685,0.227477,0.2290735,0.23767,99.8847,78.8943
D18-1-_005,8,37.3986,20.6929,39.1734,0.260376,0.21997,0.23301,98.1696,77.1407
,,,,,,,,,
D18-1-_006,9,38.5028,19.9349,40.4857,0.231152,0.217895,0.238268,99.6116,78.3561
D18-1-_006,9,38.3222,20.0822,39.9471,0.237825,0.212155,0.242002,99.0699,78.0021
D18-1-_006,9,38.4007,19.9979,40.3129,0.233788,0.206838,0.241023,99.4032,78.2297
,,38.40856667,20.005,40.24856667,0.234255,0.212296,0.240431,99.36156667,78.19596667
D18-1-_007,10,38.2358,21.5,39.1394,0.263491,0.166674,0.274954,99.5817,76.4433
D18-1-_007,10,38.1461,21.2426,39.1796,0.266916,0.16287,0.290808,99.2889,76.6778
D18-1-_007,10,38.1074,21.2161,39.1046,0.2624,0.161002,0.268995,99.1204,76.6659
,,38.1631,21.31956667,39.1412,0.264269,0.163515333,0.278252333,99.33033333,76.59566667
D18-1-_008,11,38.6209,20.6032,39.978,0.252704,0.192354,0.260028,99.9172,77.5729
D18-1-_008,11,38.4704,20.7025,39.8689,0.252196,0.193419,0.262092,99.7619,77.4414
D18-1-_008,11,38.5167,20.5765,40.0242,0.250763,0.186586,0.275358,99.83,77.6155
,,38.536,20.6274,39.95703333,0.251887667,0.190786333,0.265826,99.83636667,77.54326667
D18-1-_009,12,38.251,21.4343,39.2512,0.258013,0.158992,0.268251,99.6326,76.5496
D18-1-_009,13,38.1743,21.4555,39.1951,0.261555,0.151338,0.270799,99.5251,76.5062
D18-1-_009,13,38.3125,21.5252,39.3505,0.263673,0.157119,0.27177,99.8809,76.519
D18-1-_009,13,38.3354,21.5874,39.5209,0.26266,0.159103,0.271751,100.15,76.5448
,,38.2683,21.5006,39.329425,0.26147525,0.156638,0.27064275,99.79715,76.5299
D18-1-_010,14,38.9332,17.5941,42.6854,0.210961,0.301771,0.21331,99.9527,81.2199
D18-1-_010,14,39.0178,18.5424,41.9079,0.230342,0.250112,0.219146,100.174,80.1147
,,38.9755,18.06825,42.29665,0.2206515,0.2759415,0.216228,100.06335,80.6673
D18-1-_011,15,38.6854,18.9147,41.2791,0.233929,0.233525,0.219049,99.5932,79.5513
D18-1-_011,15,38.7448,19.036,41.3721,0.230518,0.237944,0.229275,99.877,79.4838
D18-1-_011,15,,,,,,,,
,,38.7151,18.97535,41.3256,0.2322235,0.2357345,0.224162,99.7351,79.51755
,,,,,,,,,
D15-3__001,17,39.7034,10.0911,47.9965,0.25075,0.360885,0.159272,98.598,89.4498
D15-3__001,17,39.7904,10.211,48.1083,0.249873,0.370828,0.140432,98.9095,89.36
D15-3__001,17,39.8884,10.0345,48.1245,0.253612,0.379836,0.146131,98.8642,89.5278
,,39.79406667,10.1122,48.07643333,0.251411667,0.370516333,0.148611667,98.79056667,89.44586667
D15-3__002,18,40.2278,9.0963,49.3686,0.248917,0.422227,0.121581,99.5012,90.632
D15-3__002,18,40.2548,9.13721,49.2685,0.249514,0.415843,0.130838,99.4703,90.5765
D15-3__002,18,40.2493,9.09012,49.4235,0.249971,0.411232,0.117138,99.5798,90.6472
D15-3 ave,,40.24396667,9.107876667,49.35353333,0.249467333,0.416434,0.123185667,99.5171,90.61856667
D15-3__003,19,40.08,9.49563,49.1638,0.251924,0.405172,0.135702,99.5655,90.2242
D15-3__003,19,40.1278,9.42552,48.8571,0.249795,0.399668,0.132661,99.2266,90.2344
D15-3__003,19,40.0967,9.55333,48.9301,0.246986,0.404495,0.137151,99.4019,90.1283
,,40.1015,9.491493333,48.98366667,0.249568333,0.403111667,0.135171333,99.398,90.19563333
D15-3__004,20,40.3993,9.27031,49.4126,0.24554,0.401539,0.130506,99.8878,90.4776
D15-3__004,20,40.3685,9.27385,49.5171,0.253536,0.405172,0.124353,100.001,90.4925
D15-3__004,20,40.4287,9.28032,49.3538,0.244928,0.403108,0.140894,99.8933,90.458
,,40.39883333,9.274826667,49.42783333,0.248001333,0.403273,0.131917667,99.92736667,90.47603333
D15-3__005,21,40.1855,10.7064,48.2353,0.23914,0.397478,0.154227,99.9372,88.9271
D15-3__005,21,40.3589,10.7884,48.3041,0.243864,0.407979,0.144053,100.25,88.8658
D15-3__005,21,40.3036,10.876,48.2579,0.246114,0.387477,0.140586,100.215,88.776
,,40.28266667,10.79026667,48.26576667,0.243039333,0.397644667,0.146288667,100.1340667,88.8563
D15-3__006,22,40.2622,10.3264,48.5241,0.254474,0.387171,0.144208,99.9304,89.335
D15-3__006,22,40.2865,10.1884,48.353,0.251644,0.391405,0.135576,99.6264,89.4291
D15-3__006,22,40.2947,10.3795,48.1204,0.24687,0.392921,0.144622,99.6061,89.2058
D15-3__006,22,40.3313,10.4075,48.2356,0.243916,0.385947,0.140914,99.7918,89.2029
,,40.293675,10.32545,48.308275,0.249226,0.389361,0.14133,99.738675,89.2932
D15-3__007,23,40.27,10.1889,48.4784,0.259775,0.396055,0.153112,99.783,89.4531
D15-3__007,23,40.2022,9.97269,48.5279,0.25378,0.391125,0.140021,99.5552,89.6632
